,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,450,471,613,893,1053,17945.0,3.2259,0.332119,599.45355,627.428049,816.588947,1189.582267,1402.721307
1,2007,465,488,634,924,1089,17945.0,2.8527,0.29986,604.4349,634.33168,824.11124,1201.07064,1415.54754
2,2008,538,564,733,1068,1259,17945.0,3.8391,0.271333,683.9771539999999,717.031812,931.8870890000001,1357.783644,1600.6082470000001
3,2009,563,590,767,1118,1318,17945.0,-0.3555,0.232942,694.146346,727.43578,945.666514,1378.4291560000001,1625.017556
4,2010,581,608,791,1152,1359,17945.0,1.64,0.23649699999999999,718.404757,751.790176,978.069127,1424.444544,1680.3994229999998
5,2011,596,624,812,1183,1395,17945.0,3.1568,0.22009700000000001,727.177812,761.340528,990.718764,1443.374751,1702.035315
6,2012,578,606,788,1148,1354,17945.0,2.0693,0.18852900000000003,686.9697620000001,720.248574,936.5608520000001,1364.431292,1609.268266
7,2013,675,703,836,1232,1481,18546.0,1.4648,0.16783600000000004,788.2893,820.9887080000001,976.3108960000001,1438.773952,1729.565116
8,2014,777,809,962,1418,1704,18546.0,1.6222,0.15318800000000005,896.0270760000001,932.9290920000001,1109.366856,1635.2205840000001,1965.0323520000002
9,2015,728,758,901,1328,1596,18546.0,0.1186,0.136966,827.711248,861.820228,1024.406366,1509.890848,1814.597736
10,2016,734,739,938,1349,1522,18546.0,1.2616,0.13577999999999998,833.66252,839.34142,1065.36164,1532.16722,1728.65716
11,2017,704,708,878,1278,1338,18546.0,2.1301,0.123164,790.707456,795.200112,986.1379919999999,1435.4035920000001,1502.793432
12,2018,755,760,917,1309,1313,18546.0,2.4426,0.101863,831.906565,837.41588,1010.408371,1442.338667,1446.746119
13,2019,772,776,929,1251,1256,18546.0,1.8122,0.07743699999999999,831.7813639999999,836.091112,1000.938973,1347.873687,1353.260872
14,2020,783,788,973,1313,1318,18195.0,1.2336,0.059315,829.443645,834.74022,1030.713495,1390.880595,1396.17717
15,2021,811,851,1017,1374,1379,18195.0,4.6979,0.046979,849.099969,890.9791290000001,1064.777643,1438.549146,1443.784041
0,2022,825,920,1020,71,1330,,,,,,,,
